1	1	66
1	1	39
1	1	163
1	1	185
1	2	64
1	1	69
1	2	137
1	2	112
3	1	12
3	1	8
3	1	178
3	1	69
3	1	193
3	1	66
3	1	250
5	1	12
5	1	178
5	1	8
5	1	69
5	1	66
5	1	193
5	1	250
9	2	64
9	1	66
9	1	163
9	1	178
9	2	157
9	2	112
9	2	82
23	1	66
23	1	12
23	1	69
23	1	8
23	1	39
23	2	64
23	1	178
25	1	163
25	1	66
25	1	39
25	1	104
25	1	69
25	2	64
25	1	185
25	2	212
52	1	66
52	1	163
52	1	39
52	1	185
52	1	178
52	2	112
52	2	162
78	1	66
78	1	135
78	1	8
78	1	69
78	2	230
78	1	12
89	1	66
89	1	163
89	2	137
89	2	179
89	2	112
89	1	178
8	1	66
8	1	39
8	1	185
8	1	163
8	1	178
8	1	69
8	2	238
8	2	64
8	2	211
13	1	66
13	2	185
13	2	238
13	2	64
13	2	16
13	2	157
13	2	154
13	2	245
49	1	66
49	1	39
49	1	185
49	1	163
49	2	64
49	2	230
49	2	137
49	2	185
155	1	178
155	1	66
155	1	163
155	2	64
155	1	69
155	1	185
155	1	12
85	1	163
85	1	66
85	1	39
85	1	104
85	2	112
85	1	63
174	1	163
174	1	39
174	1	185
174	1	66
174	1	104
174	1	63
174	1	69
174	2	76
176	1	12
176	1	8
176	1	135
176	2	230
176	1	69
176	1	17
87	1	66
87	1	69
87	1	163
87	1	185
87	1	39
87	2	112
87	2	58
24	1	163
24	2	137
24	1	185
24	2	230
24	2	64
24	1	39
24	2	162
214	1	12
214	1	178
214	1	69
214	1	66
214	1	8
214	2	64
214	1	39
15	1	66
15	1	12
15	1	69
15	1	178
15	1	163
15	1	8
42	1	66
42	1	39
42	1	163
42	1	185
42	1	178
42	1	69
42	2	64
42	1	8
