现代医学症状	关系	疾病
Diarrhea	相关疾病	X-Linked Lissencephaly With Abnormal Genitalia
Diarrhea	相关疾病	Cholesteryl Ester Storage Disease
Diarrhea	相关疾病	Lysosomal Acid Lipase Deficiency
Diarrhea	相关疾病	Wilson Disease
Diarrhea	相关疾病	Reticular Dysgenesis
Diarrhea	相关疾病	Polycythemia Vera
Diarrhea	相关疾病	Hyper-Igd Syndrome
Diarrhea	相关疾病	Osteogenic Sarcoma
Diarrhea	相关疾病	Carnitine Palmitoyl Transferase 1A Deficiency
Diarrhea	相关疾病	Multiple Myeloma
Diarrhea	相关疾病	Biotinidase Deficiency
Diarrhea	相关疾病	Nijmegen Breakage Syndrome
Diarrhea	相关疾病	Thiamine-Responsive Megaloblastic Anemia Syndrome
Diarrhea	相关疾病	Megacystis-Microcolon-Intestinal Hypoperistalsis Syndrome
Diarrhea	相关疾病	Chylomicron Retention Disease
Diarrhea	相关疾病	"Bile Acid Synthesis Defect, Congenital, 2"
Diarrhea	相关疾病	Classic Galactosemia
Diarrhea	相关疾病	"Folate Malabsorption, Hereditary"
Diarrhea	相关疾病	Familial Dysautonomia
Diarrhea	相关疾病	Cystic Fibrosis
Diarrhea	相关疾病	Cerebrotendinous Xanthomatosis
Diarrhea	相关疾病	Bloom Syndrome
Diarrhea	相关疾病	Acrodermatitis Enteropathica
Diarrhea	相关疾病	Abetalipoproteinemia
Diarrhea	相关疾病	Acute Intermittent Porphyria
Diarrhea	相关疾病	Huntington Disease
Diarrhea	相关疾病	"Periodic Fever, Familial, Autosomal Dominant"
Diarrhea	相关疾病	Multiple Endocrine Neoplasia Type 1
Diarrhea	相关疾病	Hereditary Coproporphyria
Defecation Pain	相关疾病	Generalized Congenital Lipodystrophy With Myopathy
Defecation Pain	相关疾病	Kanzaki Disease
Defecation Pain	相关疾病	Alpha-N-Acetylgalactosaminidase Deficiency Type 1
Defecation Pain	相关疾病	Peripheral Demyelinating Neuropathy-Central Dysmyelinating Leukodystrophy-Waardenburg Syndrome-Hirschsprung Disease
Defecation Pain	相关疾病	Parathyroid Carcinoma
Defecation Pain	相关疾病	1P36 Deletion Syndrome
Defecation Pain	相关疾病	Carney-Stratakis Syndrome
Defecation Pain	相关疾病	Gastrointestinal Stromal Tumor
Defecation Pain	相关疾病	Neurodegeneration With Brain Iron Accumulation 3
Defecation Pain	相关疾病	Propionic Acidemia
Defecation Pain	相关疾病	"Mitochondrial Myopathy, Encephalopathy, Lactic Acidosis, And Stroke-Like Episodes"
Defecation Pain	相关疾病	Maternally-Inherited Diabetes And Deafness
Defecation Pain	相关疾病	Rett Syndrome
Defecation Pain	相关疾病	Oculocerebrorenal Syndrome Of Lowe
Defecation Pain	相关疾病	Alpha-Thalassemia-X-Linked Intellectual Disability Syndrome
Defecation Pain	相关疾病	Cerebral Creatine Deficiency Syndrome 1
Defecation Pain	相关疾病	Williams-Beuren Syndrome
Defecation Pain	相关疾病	Smith-Magenis Syndrome
Defecation Pain	相关疾病	Septo-Optic Dysplasia Spectrum
Defecation Pain	相关疾病	Liddle Syndrome
Defecation Pain	相关疾病	Acute Intermittent Porphyria
Defecation Pain	相关疾病	Paroxysmal Extreme Pain Disorder
Defecation Pain	相关疾病	Jacobsen Syndrome
Defecation Pain	相关疾病	Hyperparathyroidism-Jaw Tumor Syndrome
Defecation Pain	相关疾病	"Periodic Fever, Familial, Autosomal Dominant"
Defecation Pain	相关疾病	Malt Lymphoma
Defecation Pain	相关疾病	Floating-Harbor Syndrome
Defecation Pain	相关疾病	"Epidermolysis Bullosa Simplex, Dowling-Meara Type"
Defecation Pain	相关疾病	"Ehlers-Danlos Syndrome, Hypermobility Type"
Defecation Pain	相关疾病	Hereditary Coproporphyria
Defecation Pain	相关疾病	Prune Belly Syndrome
Fever	相关疾病	Cholangiocarcinoma
Fever	相关疾病	Beta-Thalassemia Major
Fever	相关疾病	Follicular Lymphoma
Fever	相关疾病	Pyogenic Bacterial Infections Due To Myd88 Deficiency
Fever	相关疾病	Malaria
Fever	相关疾病	Majeed Syndrome
Fever	相关疾病	Granulomatosis With Polyangiitis
Fever	相关疾病	Stevens-Johnson Syndrome
Fever	相关疾病	Chronic Myeloid Leukemia
Fever	相关疾病	Tuberculosis
Fever	相关疾病	Cinca Syndrome
Fever	相关疾病	Lymphangioleiomyomatosis
Fever	相关疾病	Pyogenic Arthritis-Pyoderma Gangrenosum-Acne Syndrome
Fever	相关疾病	Budd-Chiari Syndrome
Fever	相关疾病	"Ectodermal Dysplasia 1, Hypohidrotic, X-Linked"
Fever	相关疾病	Fabry Disease
Fever	相关疾病	Reticular Dysgenesis
Fever	相关疾病	Dubin-Johnson Syndrome
Fever	相关疾病	Takayasu Arteritis
Fever	相关疾病	Muckle-Wells Syndrome
Fever	相关疾病	Giant Cell Arteritis
Fever	相关疾病	Blau Syndrome
Fever	相关疾病	Cyclic Neutropenia
Fever	相关疾病	Malt Lymphoma
Fever	相关疾病	Caffey Disease
Discoloration Urine	相关疾病	Lymphangioleiomyomatosis
Discoloration Urine	相关疾病	Acute Intermittent Porphyria
Discoloration Urine	相关疾病	Dubin-Johnson Syndrome
Discoloration Urine	相关疾病	Hartnup Disease
Discoloration Urine	相关疾病	Choreoacanthocytosis
